iter	Passed	Remaining
0	7	7606
1	14	6986
2	22	7362
3	28	7069
4	35	6978
5	41	6898
6	49	6982
7	56	6945
8	62	6858
9	69	6845
10	75	6759
11	82	6824
12	89	6757
13	95	6705
14	102	6700
15	108	6642
16	115	6671
17	121	6642
18	127	6606
19	134	6590
20	141	6604
21	149	6645
22	155	6610
23	162	6608
24	168	6582
25	174	6544
26	181	6552
27	188	6537
28	195	6551
29	201	6526
30	207	6498
31	215	6506
32	221	6493
33	228	6488
34	234	6476
35	241	6456
36	247	6444
37	253	6429
38	260	6425
39	266	6398
40	272	6381
41	280	6388
42	286	6370
43	292	6364
44	299	6345
45	306	6350
46	313	6353
47	319	6338
48	326	6338
49	333	6328
50	340	6328
51	347	6338
52	353	6325
53	360	6318
54	366	6297
55	373	6303
56	380	6290
57	386	6281
58	393	6271
59	400	6279
60	408	6289
61	415	6278
62	421	6270
63	427	6258
64	435	6260
65	442	6268
66	449	6259
67	456	6252
68	462	6238
69	469	6238
70	476	6231
71	483	6233
72	491	6241
73	498	6241
74	506	6246
75	511	6213
76	519	6221
77	526	6224
78	534	6228
79	541	6221
80	548	6224
81	555	6219
82	562	6212
83	569	6212
84	575	6198
85	583	6196
86	589	6188
87	596	6185
88	603	6174
89	609	6161
90	616	6156
91	622	6143
92	629	6136
93	636	6131
94	643	6126
95	650	6123
96	657	6118
97	664	6115
98	671	6107
99	678	6106
100	684	6091
101	690	6078
102	697	6072
103	703	6061
104	710	6054
105	716	6043
106	722	6033
107	729	6028
108	737	6024
109	744	6019
110	750	6007
111	756	5998
112	763	5991
113	769	5981
114	776	5974
115	782	5963
116	789	5960
117	796	5951
118	803	5950
119	811	5954
120	818	5947
121	826	5945
122	833	5941
123	841	5946
124	851	5958
125	859	5963
126	867	5964
127	875	5962
128	882	5956
129	890	5957
130	897	5954
131	905	5955
132	912	5950
133	922	5959
134	929	5958
135	937	5955
136	944	5947
137	950	5938
138	958	5938
139	965	5932
140	972	5922
141	978	5911
142	985	5907
143	992	5900
144	999	5894
145	1005	5883
146	1011	5871
147	1018	5865
148	1024	5854
149	1031	5847
150	1038	5836
151	1044	5825
152	1051	5821
153	1058	5813
154	1066	5813
155	1076	5823
156	1084	5824
157	1091	5818
158	1099	5813
159	1105	5804
160	1113	5800
161	1119	5792
162	1125	5781
163	1133	5777
164	1139	5767
165	1147	5765
166	1153	5755
167	1160	5748
168	1168	5743
169	1174	5734
170	1181	5727
171	1187	5718
172	1194	5710
173	1200	5699
174	1207	5692
175	1214	5686
176	1220	5677
177	1229	5675
178	1235	5668
179	1244	5669
180	1251	5663
181	1259	5659
182	1266	5653
183	1273	5648
184	1279	5637
185	1283	5616
186	1290	5611
187	1297	5603
188	1303	5592
189	1309	5581
190	1315	5570
191	1321	5563
192	1329	5558
193	1336	5552
194	1342	5543
195	1348	5531
196	1354	5522
197	1361	5514
198	1367	5506
199	1374	5499
200	1380	5488
201	1386	5478
202	1392	5467
203	1398	5456
204	1404	5446
205	1410	5436
206	1417	5429
207	1424	5422
208	1430	5413
209	1436	5405
210	1443	5397
211	1449	5388
212	1455	5379
213	1461	5368
214	1467	5359
215	1475	5354
216	1481	5345
217	1487	5334
218	1492	5323
219	1499	5315
220	1505	5307
221	1511	5297
222	1518	5290
223	1523	5279
224	1530	5270
225	1536	5261
226	1542	5251
227	1548	5243
228	1554	5232
229	1560	5222
230	1567	5217
231	1574	5212
232	1580	5202
233	1586	5191
234	1592	5183
235	1598	5175
236	1604	5164
237	1610	5156
238	1616	5147
239	1623	5140
240	1630	5133
241	1636	5124
242	1642	5115
243	1648	5106
244	1654	5098
245	1660	5091
246	1667	5084
247	1673	5074
248	1679	5064
249	1685	5056
250	1691	5048
251	1697	5039
252	1703	5029
253	1710	5023
254	1716	5015
255	1723	5008
256	1729	5000
257	1735	4990
258	1741	4982
259	1748	4975
260	1754	4966
261	1760	4960
262	1768	4955
263	1774	4947
264	1780	4938
265	1787	4931
266	1793	4923
267	1799	4914
268	1804	4903
269	1811	4899
270	1818	4891
271	1825	4886
272	1831	4877
273	1837	4869
274	1844	4861
275	1849	4852
276	1857	4848
277	1863	4840
278	1870	4833
279	1877	4827
280	1883	4818
281	1889	4811
282	1895	4801
283	1902	4795
284	1908	4787
285	1913	4778
286	1920	4770
287	1925	4761
288	1932	4754
289	1938	4745
290	1944	4736
291	1951	4731
292	1957	4722
293	1963	4714
294	1970	4708
295	1976	4700
296	1983	4693
297	1989	4685
298	1995	4678
299	2001	4669
300	2007	4662
301	2013	4654
302	2019	4646
303	2025	4637
304	2031	4628
305	2037	4621
306	2044	4614
307	2050	4606
308	2056	4597
309	2061	4588
310	2067	4579
311	2075	4575
312	2081	4568
313	2088	4562
314	2094	4554
315	2100	4546
316	2107	4541
317	2113	4532
318	2119	4524
319	2125	4516
320	2131	4507
321	2137	4500
322	2143	4493
323	2150	4486
324	2155	4477
325	2161	4468
326	2167	4461
327	2174	4455
328	2182	4451
329	2189	4444
330	2195	4437
331	2201	4430
332	2207	4421
333	2214	4415
334	2219	4406
335	2226	4399
336	2233	4393
337	2239	4385
338	2245	4378
339	2252	4371
340	2258	4364
341	2264	4357
342	2272	4353
343	2280	4348
344	2286	4341
345	2292	4332
346	2298	4324
347	2303	4316
348	2309	4308
349	2315	4301
350	2321	4293
351	2329	4287
352	2335	4279
353	2340	4271
354	2346	4262
355	2352	4255
356	2358	4247
357	2365	4241
358	2371	4233
359	2377	4226
360	2384	4220
361	2390	4213
362	2396	4205
363	2402	4197
364	2409	4191
365	2415	4184
366	2421	4176
367	2427	4169
368	2433	4161
369	2439	4153
370	2445	4145
371	2450	4137
372	2457	4130
373	2462	4122
374	2468	4114
375	2476	4109
376	2482	4101
377	2487	4093
378	2493	4085
379	2499	4078
380	2506	4071
381	2512	4064
382	2518	4057
383	2524	4050
384	2530	4042
385	2536	4034
386	2542	4026
387	2547	4018
388	2554	4011
389	2560	4004
390	2567	3998
391	2574	3992
392	2580	3985
393	2586	3978
394	2593	3972
395	2599	3965
396	2606	3958
397	2612	3951
398	2619	3945
399	2623	3935
400	2629	3927
401	2635	3919
402	2640	3911
403	2646	3904
404	2653	3897
405	2659	3890
406	2665	3884
407	2671	3876
408	2677	3868
409	2683	3861
410	2688	3853
411	2692	3842
412	2698	3836
413	2705	3830
414	2712	3823
415	2718	3816
416	2724	3808
417	2730	3801
418	2736	3794
419	2741	3785
420	2747	3778
421	2754	3772
422	2760	3765
423	2768	3760
424	2775	3755
425	2782	3748
426	2787	3740
427	2793	3733
428	2800	3727
429	2804	3717
430	2811	3711
431	2815	3701
432	2821	3694
433	2827	3687
434	2833	3680
435	2839	3672
436	2845	3665
437	2850	3657
438	2857	3651
439	2863	3644
440	2869	3637
441	2876	3631
442	2881	3623
443	2887	3616
444	2894	3609
445	2900	3602
446	2907	3596
447	2914	3591
448	2920	3583
449	2926	3576
450	2931	3568
451	2938	3562
452	2944	3555
453	2950	3547
454	2957	3543
455	2963	3535
456	2970	3529
457	2976	3522
458	2982	3515
459	2989	3509
460	2995	3502
461	3001	3495
462	3009	3490
463	3015	3482
464	3020	3475
465	3027	3469
466	3035	3463
467	3041	3456
468	3046	3449
469	3053	3442
470	3058	3435
471	3065	3428
472	3071	3421
473	3077	3415
474	3083	3408
475	3089	3401
476	3095	3394
477	3102	3388
478	3108	3380
479	3114	3373
480	3122	3369
481	3129	3362
482	3135	3355
483	3140	3348
484	3147	3342
485	3153	3335
486	3159	3327
487	3166	3321
488	3172	3314
489	3178	3308
490	3184	3301
491	3189	3293
492	3198	3288
493	3204	3281
494	3210	3275
495	3217	3269
496	3224	3262
497	3230	3256
498	3238	3251
499	3245	3245
500	3251	3238
501	3257	3231
502	3263	3224
503	3269	3217
504	3276	3211
505	3282	3204
506	3288	3197
507	3295	3191
508	3301	3184
509	3307	3178
510	3314	3171
511	3320	3164
512	3326	3157
513	3332	3151
514	3338	3144
515	3344	3137
516	3351	3130
517	3356	3123
518	3362	3116
519	3368	3109
520	3373	3101
521	3379	3094
522	3386	3088
523	3389	3079
524	3395	3072
525	3401	3065
526	3407	3058
527	3413	3051
528	3420	3045
529	3425	3037
530	3432	3031
531	3437	3024
532	3443	3017
533	3449	3010
534	3455	3003
535	3462	2996
536	3467	2989
537	3473	2982
538	3480	2976
539	3485	2969
540	3491	2962
541	3497	2955
542	3503	2948
543	3509	2941
544	3516	2935
545	3521	2928
546	3528	2921
547	3534	2915
548	3540	2908
549	3546	2901
550	3552	2894
551	3558	2888
552	3564	2881
553	3569	2873
554	3576	2867
555	3582	2860
556	3588	2853
557	3593	2846
558	3599	2839
559	3606	2833
560	3612	2827
561	3619	2820
562	3627	2815
563	3633	2808
564	3640	2802
565	3646	2796
566	3652	2789
567	3659	2782
568	3664	2775
569	3671	2770
570	3677	2763
571	3683	2756
572	3689	2749
573	3695	2742
574	3701	2736
575	3705	2727
576	3710	2720
577	3717	2713
578	3723	2707
579	3730	2701
580	3736	2694
581	3742	2687
582	3748	2681
583	3755	2674
584	3760	2668
585	3767	2661
586	3773	2655
587	3779	2648
588	3786	2642
589	3792	2635
590	3798	2628
591	3804	2621
592	3810	2615
593	3817	2609
594	3823	2602
595	3829	2596
596	3835	2589
597	3839	2581
598	3845	2574
599	3851	2567
600	3857	2560
601	3863	2554
602	3869	2547
603	3875	2540
604	3881	2534
605	3887	2527
606	3893	2520
607	3899	2514
608	3905	2507
609	3912	2501
610	3918	2494
611	3924	2487
612	3930	2481
613	3937	2475
614	3943	2468
615	3949	2461
616	3955	2455
617	3961	2448
618	3967	2442
619	3973	2435
620	3979	2428
621	3985	2421
622	3991	2415
623	3996	2408
624	4002	2401
625	4009	2395
626	4014	2388
627	4020	2381
628	4027	2375
629	4033	2368
630	4040	2362
631	4045	2355
632	4051	2348
633	4057	2342
634	4063	2335
635	4070	2329
636	4076	2323
637	4082	2316
638	4088	2309
639	4093	2302
640	4099	2296
641	4106	2289
642	4111	2282
643	4117	2276
644	4123	2269
645	4129	2263
646	4136	2256
647	4142	2250
648	4148	2243
649	4154	2237
650	4161	2230
651	4167	2224
652	4173	2217
653	4178	2210
654	4184	2204
655	4190	2197
656	4196	2190
657	4202	2184
658	4209	2178
659	4215	2171
660	4221	2165
661	4227	2158
662	4233	2151
663	4240	2145
664	4245	2138
665	4253	2132
666	4259	2126
667	4265	2119
668	4271	2113
669	4276	2106
670	4283	2100
671	4289	2093
672	4295	2087
673	4303	2081
674	4309	2074
675	4315	2068
676	4322	2062
677	4329	2056
678	4335	2049
679	4342	2043
680	4349	2037
681	4356	2031
682	4363	2025
683	4368	2018
684	4374	2011
685	4381	2005
686	4387	1998
687	4394	1992
688	4399	1986
689	4405	1979
690	4411	1972
691	4417	1966
692	4423	1959
693	4429	1952
694	4434	1946
695	4440	1939
696	4447	1933
697	4454	1927
698	4460	1920
699	4466	1914
700	4472	1907
701	4478	1901
702	4484	1894
703	4491	1888
704	4497	1881
705	4504	1875
706	4510	1869
707	4515	1862
708	4522	1856
709	4528	1849
710	4534	1843
711	4540	1836
712	4546	1830
713	4553	1823
714	4559	1817
715	4565	1810
716	4571	1804
717	4577	1797
718	4583	1791
719	4590	1785
720	4595	1778
721	4601	1771
722	4607	1765
723	4613	1758
724	4620	1752
725	4626	1746
726	4633	1739
727	4639	1733
728	4645	1726
729	4652	1720
730	4657	1714
731	4664	1707
732	4670	1701
733	4677	1695
734	4683	1688
735	4688	1681
736	4695	1675
737	4701	1669
738	4707	1662
739	4713	1656
740	4719	1649
741	4725	1643
742	4731	1636
743	4737	1629
744	4744	1623
745	4749	1617
746	4755	1610
747	4762	1604
748	4768	1597
749	4775	1591
750	4780	1585
751	4787	1578
752	4792	1572
753	4798	1565
754	4804	1559
755	4810	1552
756	4815	1545
757	4822	1539
758	4828	1533
759	4835	1526
760	4841	1520
761	4847	1514
762	4854	1507
763	4860	1501
764	4867	1495
765	4873	1488
766	4878	1482
767	4885	1475
768	4890	1469
769	4896	1462
770	4902	1456
771	4909	1449
772	4914	1443
773	4921	1436
774	4926	1430
775	4932	1423
776	4938	1417
777	4944	1410
778	4950	1404
779	4955	1397
780	4961	1391
781	4968	1384
782	4975	1378
783	4981	1372
784	4986	1365
785	4992	1359
786	4999	1353
787	5004	1346
788	5010	1339
789	5016	1333
790	5022	1327
791	5028	1320
792	5034	1314
793	5040	1307
794	5046	1301
795	5052	1294
796	5058	1288
797	5065	1282
798	5071	1275
799	5077	1269
800	5082	1262
801	5088	1256
802	5095	1249
803	5100	1243
804	5107	1237
805	5114	1230
806	5119	1224
807	5124	1217
808	5130	1211
