iter	RMSE
0	0.5466714473
1	0.5260490477
2	0.5076720971
3	0.4908112243
4	0.4754707944
5	0.4612808919
6	0.4478756629
7	0.436399742
8	0.4255458624
9	0.4155282192
10	0.4057335569
11	0.3975289279
12	0.3899367437
13	0.382185258
14	0.3757326795
15	0.3697577858
16	0.3643823583
17	0.3595790418
18	0.3553519658
19	0.3513015634
20	0.3475265028
21	0.3438275713
22	0.3405943422
23	0.3370956416
24	0.3342465376
25	0.3313417745
26	0.3285082895
27	0.3262982386
28	0.3241652261
29	0.3221876096
30	0.320073979
31	0.3184438777
32	0.3169692552
33	0.3148584732
34	0.3133131067
35	0.3116742679
36	0.3102636155
37	0.3085116919
38	0.3073207866
39	0.3061708548
40	0.3049792564
41	0.3037183631
42	0.3025278326
43	0.3007669547
44	0.2992532463
45	0.2984116195
46	0.2972785039
47	0.2962147706
48	0.2949211997
49	0.293869259
50	0.2930876684
51	0.2919354613
52	0.2912141619
53	0.2903561375
54	0.2892312135
55	0.2886046705
56	0.2879430832
57	0.2869931651
58	0.2862820193
59	0.2853720186
60	0.2842538302
61	0.2835451153
62	0.2830108197
63	0.2823517652
64	0.2818872158
65	0.2810469889
66	0.2799804708
67	0.2794459733
68	0.2788807215
69	0.2780783533
70	0.2774803659
71	0.27692065
72	0.2763869497
73	0.275311052
74	0.274641773
75	0.2737211294
76	0.2732010299
77	0.2727003214
78	0.2721315075
79	0.2712274961
80	0.2705293844
81	0.2700780384
82	0.26967334
83	0.2691769824
84	0.268750136
85	0.2681586225
86	0.2675263704
87	0.2670293123
88	0.2667217666
89	0.2662910616
90	0.2658813323
91	0.2655707783
92	0.2651896894
93	0.2647797494
94	0.2644381434
95	0.2640030924
96	0.2632721414
97	0.2628672003
98	0.26230066
99	0.2619325241
100	0.2616740491
101	0.2613366548
102	0.2609240562
103	0.2605017735
104	0.2602340008
105	0.2599214958
106	0.2593841825
107	0.2590482154
108	0.2587485712
109	0.2584972253
110	0.2582493431
111	0.2578433111
112	0.2574322737
113	0.2572565729
114	0.2568556502
115	0.2566792319
116	0.2563964453
117	0.2562438319
118	0.2558833764
119	0.2556663551
120	0.2554029085
121	0.2549634018
122	0.2546791403
123	0.2543205337
124	0.2540998596
125	0.2537151219
126	0.2534132954
127	0.2531214081
128	0.2527914421
129	0.2526145886
130	0.2524435956
131	0.2522025376
132	0.2518633856
133	0.2515617959
134	0.2513746452
135	0.2511908957
136	0.2508631261
137	0.2506404145
138	0.2505073404
139	0.2500965758
140	0.2499090954
141	0.2496252448
142	0.2494240548
143	0.2491249967
144	0.2488986854
145	0.2485521774
146	0.2484223699
147	0.2481515541
148	0.2478958749
149	0.2475668158
150	0.2473723625
151	0.2469753352
152	0.2468432492
153	0.2466872871
154	0.2465304452
155	0.2462237713
156	0.2458717292
157	0.2455361663
158	0.2452963164
159	0.2449915386
160	0.2444961351
161	0.2441310582
162	0.243865975
163	0.243529415
164	0.2432444467
165	0.2429665423
166	0.2426777733
167	0.2424184711
168	0.2421628196
169	0.2419101139
170	0.2416929815
171	0.2415354842
172	0.2412312994
173	0.241026086
174	0.2408355512
175	0.2407241586
176	0.2405433672
177	0.2402488827
178	0.24003254
179	0.2397330165
180	0.2394894266
181	0.2392540982
182	0.2390120802
183	0.2387508825
184	0.2384549249
185	0.2381311926
186	0.2379288969
187	0.2375780295
188	0.2373945801
189	0.2372839601
190	0.2370576358
191	0.236843284
192	0.2366380448
193	0.2364968787
194	0.2361894097
195	0.2359607252
196	0.2357956104
197	0.2355347763
198	0.2353560174
199	0.2351257763
200	0.2349342749
201	0.2348048114
202	0.2346128794
203	0.2342031654
204	0.2338984289
205	0.2337532279
206	0.2336195236
207	0.2334339119
208	0.2332628284
209	0.2330277778
210	0.2328318545
211	0.2325127817
212	0.2323167937
213	0.2321331629
214	0.2318722597
215	0.2317323861
216	0.2315704331
217	0.2313800293
218	0.2312588923
219	0.2310734754
220	0.2308252466
221	0.2305322673
222	0.2303970944
223	0.2301621482
224	0.2299294405
225	0.2297973732
226	0.2296917794
227	0.2295351274
228	0.2291915865
229	0.229012537
230	0.2287871289
231	0.2286787813
232	0.228563649
233	0.2283586094
234	0.2282097515
235	0.2280164715
236	0.2278239068
237	0.2277081468
238	0.22747083
239	0.2273102742
240	0.2271397584
241	0.2269755861
242	0.2268478259
243	0.2266998896
244	0.2264686169
