iter	Passed	Remaining
0	7	7056
1	13	6871
2	19	6336
3	25	6454
4	31	6185
5	36	5991
6	45	6424
7	49	6134
8	58	6444
9	65	6498
10	75	6789
11	82	6765
12	92	7029
13	98	6965
14	111	7346
15	117	7231
16	124	7182
17	129	7088
18	135	6979
19	141	6919
20	146	6830
21	153	6802
22	160	6837
23	169	6877
24	175	6849
25	181	6807
26	190	6859
27	196	6816
28	209	7012
29	217	7022
30	227	7105
31	235	7135
32	242	7095
33	247	7026
34	254	7017
35	259	6946
36	264	6891
37	273	6911
38	277	6849
39	287	6891
40	292	6839
41	301	6866
42	305	6809
43	311	6770
44	318	6755
45	323	6707
46	329	6673
47	335	6655
48	341	6621
49	348	6628
50	353	6586
51	359	6545
52	366	6546
53	373	6535
54	381	6553
55	387	6537
56	392	6497
57	399	6489
58	404	6454
59	410	6423
60	416	6417
61	422	6388
62	430	6403
63	437	6397
64	447	6435
65	454	6432
66	462	6445
67	469	6432
68	479	6466
69	486	6463
70	494	6467
71	499	6437
72	504	6403
73	511	6406
74	518	6388
75	528	6424
76	535	6420
77	544	6434
78	551	6424
79	559	6429
80	566	6424
81	571	6403
82	579	6403
83	584	6375
84	593	6383
85	598	6357
86	603	6335
87	611	6335
88	617	6322
89	626	6331
90	640	6394
91	645	6375
92	655	6397
93	662	6383
94	672	6410
95	679	6395
96	687	6399
97	694	6395
98	705	6416
99	715	6439
100	726	6467
101	761	6707
102	778	6776
103	792	6826
104	802	6841
105	809	6828
106	816	6810
107	825	6816
108	830	6788
109	839	6789
110	844	6760
111	852	6762
112	858	6735
113	863	6707
114	872	6714
115	877	6687
116	886	6690
117	891	6663
118	901	6671
119	906	6645
120	912	6630
121	920	6621
122	925	6599
123	932	6585
124	937	6559
125	945	6560
126	951	6543
127	957	6521
128	963	6506
129	970	6495
130	982	6516
131	994	6539
132	1008	6571
133	1018	6582
134	1027	6583
135	1037	6592
136	1046	6594
137	1051	6570
138	1056	6546
139	1066	6553
140	1071	6530
141	1082	6539
142	1087	6519
143	1098	6528
144	1103	6506
145	1111	6500
146	1116	6477
147	1121	6456
148	1128	6445
149	1133	6424
150	1139	6404
151	1145	6391
152	1157	6405
153	1166	6406
154	1175	6409
155	1194	6460
156	1220	6551
157	1232	6567
158	1243	6574
159	1252	6575
160	1264	6589
161	1274	6594
162	1292	6635
163	1307	6664
164	1315	6658
165	1328	6673
166	1337	6673
167	1346	6666
168	1355	6667
169	1364	6662
170	1378	6681
171	1390	6695
172	1399	6689
173	1410	6696
174	1422	6706
175	1430	6696
176	1441	6701
177	1448	6689
178	1458	6691
179	1472	6707
180	1488	6736
181	1496	6727
182	1510	6743
183	1526	6770
184	1536	6768
185	1544	6760
186	1560	6783
187	1571	6788
188	1577	6767
189	1585	6760
190	1592	6744
191	1601	6737
192	1606	6717
193	1611	6695
194	1619	6686
195	1627	6676
196	1636	6669
197	1642	6654
198	1651	6649
199	1660	6640
200	1669	6635
201	1674	6613
202	1682	6606
203	1690	6595
204	1699	6591
205	1706	6577
206	1714	6567
207	1720	6549
208	1725	6530
209	1736	6531
210	1742	6515
211	1752	6513
212	1757	6493
213	1769	6500
214	1780	6500
215	1789	6494
216	1802	6504
217	1813	6504
218	1825	6510
219	1833	6501
220	1848	6515
221	1861	6522
222	1878	6545
223	1895	6566
224	1904	6559
225	1914	6555
226	1919	6537
227	1933	6547
228	1944	6547
229	1949	6527
230	1957	6514
231	1963	6501
232	1968	6481
233	1976	6469
234	1981	6449
235	1985	6428
236	1997	6429
237	2002	6410
238	2010	6402
239	2015	6382
240	2024	6376
241	2029	6357
242	2034	6338
243	2044	6335
244	2056	6337
