iter	Passed	Remaining
0	151	150901
1	164	82040
2	170	56506
3	185	46213
4	210	41932
5	229	38084
6	246	35001
7	260	32309
8	278	30654
9	289	28655
10	311	28046
11	328	27022
12	343	26052
13	355	25014
14	376	24727
15	385	23722
16	392	22667
17	400	21862
18	407	21047
19	420	20623
20	432	20172
21	440	19577
22	455	19343
23	469	19073
24	483	18850
25	498	18684
26	505	18202
27	512	17793
28	517	17341
29	522	16903
30	531	16628
31	539	16326
32	550	16134
33	561	15953
34	585	16134
35	630	16879
36	645	16811
37	659	16703
38	667	16448
39	679	16319
40	699	16354
41	712	16261
42	725	16148
43	746	16213
44	764	16215
45	780	16179
46	793	16092
47	807	16017
48	816	15850
49	824	15670
50	835	15540
51	840	15318
52	847	15136
53	851	14924
54	856	14721
55	862	14535
56	866	14336
57	871	14152
58	878	14013
59	884	13849
60	888	13675
61	894	13533
62	898	13370
63	904	13228
64	911	13110
65	923	13074
66	930	12958
67	946	12968
68	959	12952
69	971	12900
70	976	12779
71	986	12711
72	991	12584
73	1005	12580
74	1018	12566
75	1033	12568
76	1048	12571
77	1065	12591
78	1077	12560
79	1111	12780
80	1143	12973
81	1182	13240
82	1201	13270
83	1236	13489
84	1252	13483
85	1259	13384
86	1270	13331
87	1275	13216
88	1286	13169
89	1297	13122
90	1318	13168
91	1332	13156
92	1350	13169
93	1366	13175
94	1373	13083
95	1383	13024
96	1388	12924
97	1397	12860
98	1402	12759
99	1411	12700
100	1424	12682
101	1434	12627
102	1446	12600
103	1462	12596
104	1471	12541
105	1480	12488
106	1493	12465
107	1508	12456
108	1514	12380
109	1529	12376
110	1541	12343
111	1551	12298
112	1558	12235
113	1577	12262
114	1605	12352
115	1625	12384
116	1642	12396
117	1672	12500
118	1691	12525
119	1708	12529
120	1740	12642
121	1753	12621
122	1785	12731
123	1831	12935
124	1849	12943
125	1862	12918
126	1869	12847
127	1878	12798
128	1884	12727
129	1894	12675
130	1898	12597
131	1905	12530
132	1915	12484
133	1923	12430
134	1927	12350
135	1931	12270
136	1939	12219
137	1944	12144
138	1950	12084
139	1956	12016
140	1960	11942
141	1970	11905
142	1975	11840
143	1986	11810
144	1992	11748
145	2006	11734
146	2018	11714
147	2024	11656
148	2032	11609
149	2036	11541
150	2049	11526
151	2059	11490
152	2064	11429
153	2074	11396
154	2079	11335
155	2083	11272
156	2091	11230
157	2095	11167
158	2100	11108
159	2104	11049
160	2109	10994
161	2117	10954
