iter	Logloss
0	0.6711699817
1	0.650875909
2	0.6306605047
3	0.6185704056
4	0.6064260444
5	0.5950834313
6	0.5838989725
7	0.5744682234
8	0.5618784379
9	0.5547785467
10	0.5435972798
11	0.53581339
12	0.5277379873
13	0.5187628999
14	0.5069621339
15	0.5004778492
16	0.4929923622
17	0.4854559606
18	0.4772313955
19	0.4706663793
20	0.464999413
21	0.4583591539
22	0.4519260951
23	0.4436011412
24	0.4371833412
25	0.4300991759
26	0.4233338492
27	0.414679391
28	0.4046626967
29	0.398056147
30	0.3908895376
31	0.3829878982
32	0.3781323336
33	0.3724792247
34	0.3677635193
35	0.3581538298
36	0.3523822707
37	0.3468100879
38	0.3391799927
39	0.3338583732
40	0.3290444977
41	0.3271910609
42	0.3206102799
43	0.3134085208
44	0.310614761
45	0.3066241206
46	0.3020584924
47	0.2986810451
48	0.2975785976
49	0.2909721452
50	0.286352469
51	0.282240128
52	0.2777861186
53	0.2716832842
54	0.2689368968
55	0.2653536115
56	0.2632579025
57	0.259837209
58	0.2558578958
59	0.2509724753
60	0.2499268979
61	0.2491707315
62	0.2458006995
63	0.2435580662
64	0.2396151874
65	0.2392744337
66	0.2358213347
