iter	Passed	Remaining
0	5	333
1	8	279
2	12	263
3	17	280
4	21	266
5	24	252
6	33	287
7	37	278
8	42	273
9	48	278
10	52	267
11	57	264
12	64	266
13	68	258
14	72	251
15	76	242
16	82	241
17	85	233
18	89	226
19	93	219
20	98	216
21	101	207
22	104	200
23	108	193
24	116	194
25	118	187
26	121	180
27	125	174
28	132	173
29	135	166
30	138	160
31	141	155
32	147	152
33	151	146
34	154	141
35	160	138
36	166	134
37	169	129
38	172	123
39	178	120
40	181	114
41	184	109
42	187	104
43	195	101
44	198	96
45	201	91
46	204	87
47	210	83
48	213	78
49	216	73
50	219	68
51	226	65
52	229	60
53	232	56
54	235	51
55	241	47
56	245	43
57	248	38
58	251	34
59	257	30
60	261	25
61	264	21
62	268	17
63	272	12
64	275	8
65	278	4
66	281	0
